11 20
6 87 96 84 99 12 88 41 78 28 3 61 72 10 67 63 22 18 10 39 
34 78 61 14 7 1 85 11 4 83 94 87 61 91 8 54 97 65 4 59 
28 34 16 91 26 8 17 14 43 39 28 56 7 34 8 71 76 6 80 16 
93 1 10 91 93 60 34 52 50 12 99 31 1 59 50 72 38 52 40 93 
66 16 65 80 65 80 46 7 46 1 18 11 1 15 42 17 86 10 28 29 
72 29 24 60 43 11 100 60 60 19 80 39 89 65 30 72 97 21 74 72 
43 90 2 90 18 64 23 5 38 25 12 50 51 43 15 27 1 16 40 55 
40 47 11 46 87 92 10 45 46 31 59 16 33 96 29 29 68 14 4 4 
16 13 82 80 41 75 41 23 4 58 11 44 61 21 26 25 88 22 40 43 
28 22 42 27 45 88 15 33 46 62 17 51 21 99 66 66 2 19 3 87 
7 8 38 45 45 96 90 79 84 99 26 96 80 64 14 79 31 12 5 67 
