13 20
81 50 72 56 71 83 43 47 1 44 58 45 24 23 59 23 18 38 3 70 
88 97 34 38 41 35 89 90 80 73 60 46 13 38 14 64 38 14 72 44 
14 14 27 33 8 46 21 68 8 28 21 23 94 89 51 64 53 1 70 5 
62 62 94 49 91 74 21 84 91 16 93 94 31 42 48 51 38 9 58 9 
94 83 95 28 77 36 90 93 87 61 55 66 11 22 72 39 16 35 41 71 
81 82 91 56 67 80 81 52 13 48 5 39 4 38 28 62 61 39 75 35 
70 92 15 46 22 13 59 69 54 57 31 20 46 29 21 1 79 53 25 18 
97 46 40 42 30 30 56 70 56 25 11 93 20 68 73 25 73 12 13 80 
93 3 61 34 48 58 2 56 66 77 4 69 68 29 81 18 83 88 1 21 
35 83 71 64 75 22 100 16 72 18 89 96 56 81 76 5 78 36 82 86 
12 8 63 24 33 3 7 45 5 94 49 23 40 2 56 21 92 34 18 54 
21 18 85 94 17 93 75 15 82 28 33 100 75 15 16 48 56 31 4 90 
6 51 93 17 99 80 47 9 55 72 13 88 67 70 25 69 17 73 1 51
