12 20
8 40 74 44 58 67 36 50 85 43 35 30 26 16 10 93 97 67 1 76 
41 49 97 52 18 62 53 38 28 96 64 43 57 100 92 25 20 63 82 7 
36 6 15 11 5 12 15 71 76 45 78 28 14 64 91 6 29 73 92 87 
18 32 39 66 99 27 84 39 46 73 14 40 67 69 39 89 56 15 31 8 
14 37 62 45 67 36 34 71 44 19 94 46 66 68 52 36 69 2 29 34 
60 80 60 63 54 29 29 57 71 22 97 72 27 2 80 34 13 97 30 60 
9 79 4 17 46 52 80 72 93 98 82 95 56 71 66 39 30 55 10 63 
68 43 84 56 38 84 77 38 29 16 3 57 93 33 71 40 12 94 91 39 
92 47 32 82 11 9 43 98 81 63 21 13 16 8 67 48 96 7 17 94 
74 12 80 22 65 64 41 24 69 51 78 14 97 55 21 22 61 85 19 77 
52 42 44 77 19 82 36 39 54 63 37 96 47 72 48 70 46 13 47 94 
13 76 75 57 84 24 11 10 70 59 78 27 82 92 42 62 58 12 60 17
