12 20
12 8 63 24 33 3 7 45 5 94 49 23 40 2 56 21 92 34 18 54 
21 18 85 94 17 93 75 15 82 28 33 100 75 15 16 48 56 31 4 90 
6 51 93 17 99 80 47 9 55 72 13 88 67 70 25 69 17 73 1 51 
69 3 30 73 4 12 76 50 23 73 27 93 23 5 47 62 9 100 67 71 
9 49 58 92 67 66 25 60 23 9 37 16 13 33 65 11 8 80 88 45 
52 97 63 44 43 32 38 74 40 92 98 90 97 32 52 43 70 15 57 55
70 68 88 15 10 71 34 20 21 63 87 95 41 1 53 5 43 51 40 5 
78 10 61 17 55 57 7 34 79 6 22 67 70 42 46 70 65 65 84 30 
72 50 40 29 75 45 3 15 37 46 48 10 3 93 55 71 49 65 37 23 
76 33 68 27 76 28 14 18 69 84 15 81 38 79 55 19 87 75 64 72 
23 97 95 51 76 63 42 60 84 81 27 58 27 83 98 98 58 6 5 89 
4 77 21 86 44 77 45 70 21 11 71 27 28 44 30 65 61 17 8 35 
