13 20
78 10 61 17 55 57 7 34 79 6 22 67 70 42 46 70 65 65 84 30 
72 50 40 29 75 45 3 15 37 46 48 10 3 93 55 71 49 65 37 23 
76 33 68 27 76 28 14 18 69 84 15 81 38 79 55 19 87 75 64 72 
23 97 95 51 76 63 42 60 84 81 27 58 27 83 98 98 58 6 5 89 
4 77 21 86 44 77 45 70 21 11 71 27 28 44 30 65 61 17 8 35 
9 9 68 30 51 14 88 11 98 47 46 33 87 23 96 18 45 86 1 16 
42 28 40 33 26 97 74 77 43 2 84 28 15 71 64 85 54 54 37 89 
42 28 58 51 49 19 17 48 12 96 61 88 3 15 80 96 27 30 90 98 
93 63 44 50 53 73 59 27 75 90 18 52 44 11 2 11 53 46 84 67 
61 90 55 36 39 69 22 3 91 18 87 57 24 19 35 94 93 78 92 51 
82 1 66 36 54 64 26 98 56 66 43 26 26 4 96 49 10 16 55 32 
100 53 57 79 39 72 47 44 40 24 40 29 42 40 76 82 22 35 78 24 
1 99 57 27 16 70 9 69 69 82 90 62 55 69 58 99 52 93 31 93
