14 20
53 20 65 63 80 91 60 98 24 71 25 81 86 56 29 92 55 15 36 6 
9 78 14 34 53 56 11 40 77 49 32 48 11 73 34 89 55 28 43 22 
96 79 22 80 88 64 24 69 33 100 99 34 46 55 9 100 19 1 20 48 
43 67 95 40 20 49 43 43 69 81 1 80 68 41 19 97 7 69 52 54 
65 46 77 72 87 16 50 13 82 24 21 47 57 80 74 44 47 63 90 23 
5 17 69 29 52 31 96 29 40 6 14 32 23 100 39 79 85 49 53 69 
6 87 96 84 99 12 88 41 78 28 3 61 72 10 67 63 22 18 10 39 
34 78 61 14 7 1 85 11 4 83 94 87 61 91 8 54 97 65 4 59 
28 34 16 91 26 8 17 14 43 39 28 56 7 34 8 71 76 6 80 16 
93 1 10 91 93 60 34 52 50 12 99 31 1 59 50 72 38 52 40 93 
66 16 65 80 65 80 46 7 46 1 18 11 1 15 42 17 86 10 28 29 
72 29 24 60 43 11 100 60 60 19 80 39 89 65 30 72 97 21 74 72 
43 90 2 90 18 64 23 5 38 25 12 50 51 43 15 27 1 16 40 55 
40 47 11 46 87 92 10 45 46 31 59 16 33 96 29 29 68 14 4 4 
